acc_no,author,title,publisher_info,year,isbn,storage_loc,subject,class_no
B18731,Rose (G),Hand book of Electronics Formulas,"Galgotia Publications Pvt.Ltd, new delhi",1998.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 ROS
B16498,Shaema(DK),Viva voce in elect4ical Engineering,CBS Publishers and Distributors,1985.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 SHA
B17628,Kumar (V),Digital Technology Principles and Practice,"New Age International P L Publishers, New delhi",1995.0,8122407889,TLC-R-4-S-72,Electrical /Electroanics,621.3 KUM
B22590,Krishnan ®,"Electric Motor Drives modeling,Analysis,and Control",Pearson,2015.0,9789332549715,TLC-R-4-S-72,Electrical /Electroanics,621.3 KRI
B16262,Narayanappa (P),Basic Electronics for Engineers,"Interline Publishing, bangalore",1999.0,8172960646,TLC-R-4-S-72,Electrical /Electroanics,621.3 NAR
B4491,Baker (D),Physical Design of Electronic Systems V1 Design Technology,"Prentice-Hall, INC",1970.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3.01BAK
B117146,Arora (BD),Electrical Wiring Estimating and Costing,R.B Publications,,,TLC-R-4-S-72,Electrical /Electroanics,621.3 ARO
B3010,Graham(FD),Audels New Electric Library V2,D.B Tarapoevala Sons & Co.Pvt. LTD,1931.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 GRA
B2253,Wilson (FW),Fundamentals of tool Design,"Prentice-Hall of India Pvt Ltd ,New Delhi",1965.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 WIL
B15408,Reddy (JN),Polytechnic Chemistry,"Tata McGraw-hill Publishing Company Ltd, New delhi",1986.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 RED
B16802,Hughes(A),Electric Motors and Drives,BH Newnes,1990.0,0750617411,TLC-R-4-S-72,Electrical /Electroanics,621.3 HUG
B18454,Theraja (BL),Basic Electronics,S.Chand & Company Ltd .,1998.0,8121900948,TLC-R-4-S-72,Electrical /Electroanics,621.3 THE
B17137,Gupta(JB),Electrical Instsllation Estimating & Costing,S.K.Kataria & Sons,1995.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3.031 GUP
B22392,Enteria (N),Solar Energy Sciences and Engineering Applications,CRC Press,2014.0,9781138000131,TLC-R-4-S-72,Electrical /Electroanics,621.3 ENT
B19178,Mittal(AK),Electronics 1000 Questions-Answers,Asian Publishers,,8173170967,TLC-R-4-S-72,Electrical /Electroanics,621.3 MIT
B17682,Weiske (W),The Application of the Thyristor,Wiley Eastern Limited,1996.0,8122403565,TLC-R-4-S-72,Electrical /Electroanics,621.3 WEI
B17666,Koller (A),The Electric Circuit,Wiley Eastern Limited,1979.0,8122402267,TLC-R-4-S-72,Electrical /Electroanics,621.3 KOL
B15797,Weiske (W),The Characteristic Curves of the Thyristor,Wiley Eastern Limited,1989.0,8122403557,TLC-R-4-S-72,Electrical /Electroanics,621.3 WEI
B17671,Weiske (W),How the Thyristor Works,Wiley Eastern Limited,1978.0,8122402216,TLC-R-4-S-72,Electrical /Electroanics,621.3 wei
B17681,Benda (H),Mode of Operation of the Trial (Bidirectional Thyristor),Wiley Eastern Limited,1989.0,8122403573,TLC-R-4-S-72,Electrical /Electroanics,621.3 BEN
B15799,Benda (H),Mode of Operation of the Trial (Bidirectional Thyristor),Wiley Eastern Limited,1989.0,8122403573,TLC-R-4-S-72,Electrical /Electroanics,621.3 BEN
B17683,Weiske (W),The Characteristic Curves of the Thyristor,Wiley Eastern Limited,1989.0,8122403557,TLC-R-4-S-72,Electrical /Electroanics,621.3 WEI
B17685,Rieger(H),Induction and Self-Inducation,Wiley Eastern Limited,1989.0,8122403550,TLC-R-4-S-72,Electrical /Electroanics,621.3 RIE
B17670,Koller (A),Kirchhoff's Laws,Wiley Eastern Limited,1978.0,8122402224,TLC-R-4-S-72,Electrical /Electroanics,621.3 KOL
B22005,Raina (KB),Electrical design estimating and costing,New age international,1991.0,97822403633,TLC-R-4-S-72,Electrical /Electroanics,621.3 RAI
B06072,Branson (KL),Introduction to electronics,USA,1967.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 BRA
B18650,Bell (DA),Fundamentals of electronic device,Reston Publishing Company (INC),1979.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 BEL
B14511,Leonhard (W),Control of Electrical Drives,Springer-verlag,1985.0,0387136509,TLC-R-4-S-72,Electrical /Electroanics,621.3 LEO
B15009,Unknown Author,electronics Projects,,1990.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3.031
B2564,Unknown Author,Basic electricity,,1963.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3..
B21927-DUP2,Lee (HY),Introduction to engineering electro-magnetics,springer,2013.0,9783642361188,TLC-R-4-S-72,Electrical /Electroanics,621.3 LEE
B20867,Broussely (M),Industrial Applications of batteries,Elsevies,2007.0,9780444521606,TLC-R-4-S-72,Electrical /Electroanics,621.3.031. P07 BRO
B22375,Waltz ©,Solar Radiation,New York,2015.0,9781632395719,TLC-R-4-S-72,Electrical /Electroanics,621.3 WAL
B18662,Khandpur (RS),Modern electronic equipment,"Tata McGraw-hill Publishing Company Ltd, New delhi",1987.0,0074517163,TLC-R-4-S-72,Electrical /Electroanics,621.3 KHA .
B18637,Anwain,basic engineering drawing,Dhanpat rai & Co,1999.0,,TLC-R-4-S-72,Electrical /Electroanics,62.3 ANW
AUTO-00063,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B3055,Graham (F),Audels new electric librray,Bombay,1929.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 GRA
B15493,Unknown Author,Caluctta regional committee,,1973.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3..
B21855,Hoque (EM),rapid prototyping technology in modern engineering,Intech,2014.0,9789533076980,TLC-R-4-S-73,Electrical /Electroanics,621.3 HOQ
B22683,Unknown Author,Basic Electronics,,2001.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 KUM
B2627,Unknown Author,Notes for radio Mechanics,her Majesty's stationery office / London,1963.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3
B7104,Mcgoldrick (PJ),electronics Pocket Book,Newnes Technical Books,1976.0,0408002093,TLC-R-4-S-73,Electrical /Electroanics,621.3 MCG
B18681,Rao(MV),Text book of Basic Electronics,Subhas Publications,1999.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 RAO
B11921,Theraja (BL),Fundamentals of Electrical Engineering and Electronics,"Nirja Construction & Decelopment Co.PL.,Newdelhi",1987.0,8121900999,TLC-R-4-S-73,Electrical /Electroanics,621.3 THE
B22440,Singh ®,Applied Welding Engineering,Elsevier,2016.0,9780128041765,TLC-R-4-S-73,Electrical /Electroanics,621.3 SIN
B2238,Peatfield(A.E),Teach Yourself Mechanical Engineering (V2),The english Language book society,,,TLC-R-4-S-73,Electrical /Electroanics,621.3 PAE
B17679,Steidle (GH),"Magnetoresistor Construction,node of operation and application in circuits","Wiley Eastern Limited , New delhi",1966.0,812240359X,TLC-R-4-S-73,Electrical /Electroanics,621.3 STE
B20069,Unknown Author,Electronics engineering,Eastern Book Promoters Belgaum,2003.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3
B20069-DUP2,Unknown Author,Electronics engineering,Eastern Book Promoters Belgaum,2003.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3
B15402,Ra0(BVN),Engineering Physics,"Wishwa Prakashan,new delhi",1989.0,8122402143,TLC-R-4-S-73,Electrical /Electroanics,621.3 RAO
B18633,Theraja (BL),Basic Electronics Solid State,S.Chand & Company Ltd .new delhi,1998.0,8121900948,TLC-R-4-S-73,Electrical /Electroanics,621.3 THE
B22064,Theraja (BL),A Textbook of Electrical Technology,S.Chand & Company Ltd .new delhi,2008.0,9788121924900,TLC-R-4-S-73,Electrical /Electroanics,621.3 THE
B22270,Horowitz (P),The art of Electronics 3rd edition,,2015.0,9780521809269,TLC-R-4-S-73,Electrical /Electroanics,621.3 HOR
B15457,Theraja (BL),A text -book of electrical technology,Niraja Construction & Devepment co.,1989.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 THE
B15770,Lang (JG),The electric field,"Wiley Eastern Limited , New delhi",1978.0,8124402186,TLC-R-4-S-73,Electrical /Electroanics,621.3 LAN
B13007,Elonka (MS),Standard refrigeration and air condidtioning,Tata McGraw-Hill Publishing Company,1983.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 ELO
B17643,Bhattacharya(SK),Experiments in basic electrical engineering,new age international,1997.0,8122410421,TLC-R-4-S-73,Electrical /Electroanics,621.3 BHA
B0336,Coover (LS),Drawing Skitching and blueprint reading,MccGrow-Hill BOOk Company,,,TLC-R-4-S-73,Electrical /Electroanics,621.3 COO
B17145,Singht (S),General Electrical Drawing,S.K Kataria & Sons,1995.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 SIN
B12901,Gupta (ML),Electrical Engineering,New heights,1984.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 GUP
B17286,Duncan (T),Success in electronics,BPB Publications,,8170296722,TLC-R-4-S-73,Electrical /Electroanics,621.3 DUN
B3009,Graham (F),audles new electric library (V1),D.B Tarapoevala Sons & Co.Pvt. LTD,1929.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 GRA
B15002,Penfold (RA),Electronics Build and learn,,,,TLC-R-4-S-73,Electrical /Electroanics,621.3 DEN
B15798,Weiske (W),The Application of the Thyristor,"Wiley Eastern Limited , New delhi",1986.0,8122403565,TLC-R-4-S-73,Electrical /Electroanics,621.3 WEI
B15777,Lang (JG),"Current, Voltage and Resistance","Wiley Eastern Limited , New delhi",1979.0,8122402259,TLC-R-4-S-73,Electrical /Electroanics,621.3 CAN
B21377,lenk ®,practical lighting design with leds,Wiley,2011.0,97811180117377,TLC-R-4-S-73,Electrical /Electroanics,621.3 LEN
B14392,Deshpande (MV),Electric motors applications and control,a h wheeler & Co private limited,1985.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 DES
B22013,Singh (S),Electrical design estimating and costing,Dhanpat Rai & Co. (P) Ltd Delhi,1997.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 SIN
B14395,Ghosh (ML),Electrical trade theory,Tata McGraw -Hill Publishing Company ltd / new delhi,1984.0,,TLC-R-4-S-73,Electrical /Electroanics,621.3 GHO
AUTO-00064,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B15815,Srivastavea (SS),Experiments in Electronics,Atma ram & sons,1985.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 SRI
B7733,Green (DC),Electronics (III),Pitman,1978.0,0273011359,TLC-R-4-S-74,Electrical /Electroanics,621.3 GRE
B17130,Hans (A),Basic Shop Practicals,Dhappat rai & sons,1977.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 HAN
B8834,Baer (JC),electrical and electrical and electronics drawing,McGraw-Hill Book Company,1960.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3:744.42 BAE
B11377,Jacobowitz(H),Electronics made Simple,"Rupa. CO, Delhi",1981.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 JAC
B18818,Kumar (M),Troublehooting and maintenance of Electronics Equipment,"Satya Prakashan ,New delhi",2000.0,8176840394,TLC-R-4-S-74,Electrical /Electroanics,621.3 KUM
B15280,Ibrahim (FK),Electroic systems and techniques,Longman Scintific Technical,1987.0,0582988179,TLC-R-4-S-74,Electrical /Electroanics,621.3 IBM
B22631,Incropera (PF),india infrastruction research,,2020.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3031 IIR
B17279,Unknown Author,Electronics Projects (V11),EFY Enterpriese pvt ltd,1995.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 …
B22559,Farrell (JA),Aided navigation,McGraw-Hill New york,1976.0,9780071493298,TLC-R-4-S-74,Electrical /Electroanics,621.3 FAR
